"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"gyro of body y walkingdownstairs 30" "gyro of body in direction y" "walkingdownstairs" "30" "-0.0693112411951613" "-0.285392416354839"
"gyro of body y walkingupstairs 1" "gyro of body in direction y" "walkingupstairs" "1" "-0.166170015088679" "0.00410518379811321"
"gyro of body y walkingupstairs 2" "gyro of body in direction y" "walkingupstairs" "2" "-0.0320883097395833" "-0.466298336666667"
"gyro of body y walkingupstairs 3" "gyro of body in direction y" "walkingupstairs" "3" "-0.139275405637288" "-0.582742845932203"
"gyro of body y walkingupstairs 4" "gyro of body in direction y" "walkingupstairs" "4" "-0.0859471683596154" "-0.551185569230769"
"gyro of body y walkingupstairs 5" "gyro of body in direction y" "walkingupstairs" "5" "-0.117195551802128" "-0.440345826382979"
"gyro of body y walkingupstairs 6" "gyro of body in direction y" "walkingupstairs" "6" "-0.0518981989072549" "-0.315799901607843"
"gyro of body y walkingupstairs 7" "gyro of body in direction y" "walkingupstairs" "7" "-0.00247161973" "-0.572996820784314"
"gyro of body y walkingupstairs 8" "gyro of body in direction y" "walkingupstairs" "8" "-0.204205356087805" "-0.0666980861414634"
"gyro of body y walkingupstairs 9" "gyro of body in direction y" "walkingupstairs" "9" "-0.0412587909579592" "-0.400859067959184"
"gyro of body y walkingupstairs 10" "gyro of body in direction y" "walkingupstairs" "10" "-0.0954600216446809" "0.0411724668680851"
"gyro of body y walkingupstairs 11" "gyro of body in direction y" "walkingupstairs" "11" "-0.0566928808703704" "-0.28204453962963"
"gyro of body y walkingupstairs 12" "gyro of body in direction y" "walkingupstairs" "12" "-0.0411314519307692" "-0.522949798269231"
"gyro of body y walkingupstairs 13" "gyro of body in direction y" "walkingupstairs" "13" "0.00381966911090909" "-0.403572169636364"
"gyro of body y walkingupstairs 14" "gyro of body in direction y" "walkingupstairs" "14" "-0.123499570044444" "0.476518714444444"
"gyro of body y walkingupstairs 15" "gyro of body in direction y" "walkingupstairs" "15" "-0.154721289270833" "-0.3302332351"
"gyro of body y walkingupstairs 16" "gyro of body in direction y" "walkingupstairs" "16" "-0.0486136789705882" "-0.58638289372549"
"gyro of body y walkingupstairs 17" "gyro of body in direction y" "walkingupstairs" "17" "-0.0548455941370417" "-0.493044125208333"
"gyro of body y walkingupstairs 18" "gyro of body in direction y" "walkingupstairs" "18" "-0.0526133819862069" "-0.507297003103448"
"gyro of body y walkingupstairs 19" "gyro of body in direction y" "walkingupstairs" "19" "-0.134514320575" "-0.17263322355"
"gyro of body y walkingupstairs 20" "gyro of body in direction y" "walkingupstairs" "20" "-0.174650964745098" "-0.104722161186078"
"gyro of body y walkingupstairs 21" "gyro of body in direction y" "walkingupstairs" "21" "-0.155622431382979" "-0.463136841489362"
"gyro of body y walkingupstairs 22" "gyro of body in direction y" "walkingupstairs" "22" "-0.181458414495238" "-0.489417908809524"
"gyro of body y walkingupstairs 23" "gyro of body in direction y" "walkingupstairs" "23" "-0.111564389137255" "-0.293681861176471"
"gyro of body y walkingupstairs 24" "gyro of body in direction y" "walkingupstairs" "24" "-0.105932947294915" "-0.568534124576271"
"gyro of body y walkingupstairs 25" "gyro of body in direction y" "walkingupstairs" "25" "-0.109437658104615" "-0.433673383846154"
"gyro of body y walkingupstairs 26" "gyro of body in direction y" "walkingupstairs" "26" "-0.0657601804418182" "-0.603097110545455"
"gyro of body y walkingupstairs 27" "gyro of body in direction y" "walkingupstairs" "27" "0.00212499391686275" "-0.587966800588235"
"gyro of body y walkingupstairs 28" "gyro of body in direction y" "walkingupstairs" "28" "0.0212250958019608" "-0.479319521372549"
"gyro of body y walkingupstairs 29" "gyro of body in direction y" "walkingupstairs" "29" "-0.152328112210204" "0.0461103045102041"
"gyro of body y walkingupstairs 30" "gyro of body in direction y" "walkingupstairs" "30" "-0.0779606464676923" "-0.0840481513184615"
"gyro of body z laying 1" "gyro of body in direction z" "laying" "1" "0.14868943626" "-0.9082846626"
"gyro of body z laying 2" "gyro of body in direction z" "laying" "2" "0.144882846104167" "-0.960306560416667"
"gyro of body z laying 3" "gyro of body in direction z" "laying" "3" "0.137999561112903" "-0.963505609032258"
"gyro of body z laying 4" "gyro of body in direction z" "laying" "4" "0.169720404092593" "-0.962073755"
"gyro of body z laying 5" "gyro of body in direction z" "laying" "5" "0.159894366942308" "-0.960583776923077"
"gyro of body z laying 6" "gyro of body in direction z" "laying" "6" "0.179102058245614" "-0.939141878596491"
"gyro of body z laying 7" "gyro of body in direction z" "laying" "7" "0.155920029769231" "-0.955294890576923"
"gyro of body z laying 8" "gyro of body in direction z" "laying" "8" "0.13818830737037" "-0.96758975462963"
"gyro of body z laying 9" "gyro of body in direction z" "laying" "9" "0.101275010682" "-0.9615953704"
"gyro of body z laying 10" "gyro of body in direction z" "laying" "10" "0.104720478344828" "-0.971940597413793"
"gyro of body z laying 11" "gyro of body in direction z" "laying" "11" "0.152019015929825" "-0.959897432807018"
"gyro of body z laying 12" "gyro of body in direction z" "laying" "12" "0.14519184795" "-0.950157442166667"
"gyro of body z laying 13" "gyro of body in direction z" "laying" "13" "0.117819614790323" "-0.967350513709677"
"gyro of body z laying 14" "gyro of body in direction z" "laying" "14" "0.149124058235294" "-0.952296965294118"
"gyro of body z laying 15" "gyro of body in direction z" "laying" "15" "0.113451899791667" "-0.956537051666667"
"gyro of body z laying 16" "gyro of body in direction z" "laying" "16" "0.0966210349428571" "-0.984781484857143"
"gyro of body z laying 17" "gyro of body in direction z" "laying" "17" "0.111440490309859" "-0.976200771267606"
"gyro of body z laying 18" "gyro of body in direction z" "laying" "18" "0.0937781948153846" "-0.985108386307692"
"gyro of body z laying 19" "gyro of body in direction z" "laying" "19" "0.10860511373494" "-0.973197523855422"
"gyro of body z laying 20" "gyro of body in direction z" "laying" "20" "0.123680209926471" "-0.972409893529412"
"gyro of body z laying 21" "gyro of body in direction z" "laying" "21" "0.0980906517" "-0.981345430888889"
"gyro of body z laying 22" "gyro of body in direction z" "laying" "22" "0.145003879319444" "-0.933251870694444"
"gyro of body z laying 23" "gyro of body in direction z" "laying" "23" "0.111078594708333" "-0.983920132638889"
"gyro of body z laying 24" "gyro of body in direction z" "laying" "24" "0.111730746333333" "-0.98170136125"
"gyro of body z laying 25" "gyro of body in direction z" "laying" "25" "0.139718671465753" "-0.91092799"
"gyro of body z laying 26" "gyro of body in direction z" "laying" "26" "0.152436344328947" "-0.969302237763158"
"gyro of body z laying 27" "gyro of body in direction z" "laying" "27" "0.118738360783784" "-0.97837499972973"
"gyro of body z laying 28" "gyro of body in direction z" "laying" "28" "0.09357912315" "-0.96237491175"
"gyro of body z laying 29" "gyro of body in direction z" "laying" "29" "0.127411971652174" "-0.97499461942029"
"gyro of body z laying 30" "gyro of body in direction z" "laying" "30" "0.0938472163142857" "-0.968889156142857"
"gyro of body z sitting 1" "gyro of body in direction z" "sitting" "1" "0.0629313811914894" "-0.941425920851064"
"gyro of body z sitting 2" "gyro of body in direction z" "sitting" "2" "0.0412277462173913" "-0.959803708695652"
"gyro of body z sitting 3" "gyro of body in direction z" "sitting" "3" "0.0940113975530769" "-0.926413710384615"
"gyro of body z sitting 4" "gyro of body in direction z" "sitting" "4" "0.10115033478" "-0.9279722294"
"gyro of body z sitting 5" "gyro of body in direction z" "sitting" "5" "0.0823934451590909" "-0.940637937045455"
"gyro of body z sitting 6" "gyro of body in direction z" "sitting" "6" "0.0854346006181818" "-0.939681350909091"
"gyro of body z sitting 7" "gyro of body in direction z" "sitting" "7" "0.0259476655145833" "-0.937021208541667"
"gyro of body z sitting 8" "gyro of body in direction z" "sitting" "8" "0.0716048809782609" "-0.959623548478261"
"gyro of body z sitting 9" "gyro of body in direction z" "sitting" "9" "0.0807919285908" "-0.9301768338"
"gyro of body z sitting 10" "gyro of body in direction z" "sitting" "10" "0.0745958869444444" "-0.960445962037037"
"gyro of body z sitting 11" "gyro of body in direction z" "sitting" "11" "0.0761739419056604" "-0.95284431245283"
"gyro of body z sitting 12" "gyro of body in direction z" "sitting" "12" "0.0728462158235294" "-0.951552533137255"
"gyro of body z sitting 13" "gyro of body in direction z" "sitting" "13" "0.0823432026610204" "-0.966896414285714"
"gyro of body z sitting 14" "gyro of body in direction z" "sitting" "14" "0.0928523607037037" "-0.952904383518518"
"gyro of body z sitting 15" "gyro of body in direction z" "sitting" "15" "0.0951978083898305" "-0.963765802881356"
"gyro of body z sitting 16" "gyro of body in direction z" "sitting" "16" "0.0795736310463768" "-0.960287831304348"
"gyro of body z sitting 17" "gyro of body in direction z" "sitting" "17" "0.0860053803375" "-0.9797052259375"
"gyro of body z sitting 18" "gyro of body in direction z" "sitting" "18" "0.0848140511754386" "-0.981525495438596"
"gyro of body z sitting 19" "gyro of body in direction z" "sitting" "19" "0.0968980718168493" "-0.96559497630137"
"gyro of body z sitting 20" "gyro of body in direction z" "sitting" "20" "0.0642882138333333" "-0.945771803484848"
"gyro of body z sitting 21" "gyro of body in direction z" "sitting" "21" "0.0831326042823529" "-0.976972658588235"
"gyro of body z sitting 22" "gyro of body in direction z" "sitting" "22" "0.0804426775241936" "-0.946501417741936"
"gyro of body z sitting 23" "gyro of body in direction z" "sitting" "23" "0.0645673209117647" "-0.9597186325"
"gyro of body z sitting 24" "gyro of body in direction z" "sitting" "24" "0.0800440230882353" "-0.971277654117647"
"gyro of body z sitting 25" "gyro of body in direction z" "sitting" "25" "0.0852783892769231" "-0.972637558615385"
"gyro of body z sitting 26" "gyro of body in direction z" "sitting" "26" "0.0711109471666667" "-0.966441338076923"
"gyro of body z sitting 27" "gyro of body in direction z" "sitting" "27" "0.0833752812157143" "-0.975713310142857"
"gyro of body z sitting 28" "gyro of body in direction z" "sitting" "28" "0.087025401375" "-0.9566328025"
"gyro of body z sitting 29" "gyro of body in direction z" "sitting" "29" "0.0580495969166667" "-0.971227991666667"
"gyro of body z sitting 30" "gyro of body in direction z" "sitting" "30" "0.0702002598387097" "-0.955053200806452"
"gyro of body z standing 1" "gyro of body in direction z" "standing" "1" "0.074800751" "-0.980645626981132"
"gyro of body z standing 2" "gyro of body in direction z" "standing" "2" "0.0878351695481481" "-0.964856701851852"
"gyro of body z standing 3" "gyro of body in direction z" "standing" "3" "0.0665262054098361" "-0.91236408147541"
"gyro of body z standing 4" "gyro of body in direction z" "standing" "4" "0.0755636430892857" "-0.909995038571429"
"gyro of body z standing 5" "gyro of body in direction z" "standing" "5" "0.0690945763946429" "-0.907471555714286"
"gyro of body z standing 6" "gyro of body in direction z" "standing" "6" "0.0767394745964912" "-0.947782155964912"
"gyro of body z standing 7" "gyro of body in direction z" "standing" "7" "0.0851045000566038" "-0.951630777358491"
"gyro of body z standing 8" "gyro of body in direction z" "standing" "8" "0.063688907" "-0.974118322407407"
"gyro of body z standing 9" "gyro of body in direction z" "standing" "9" "0.0992409332222222" "-0.939889737333333"
"gyro of body z standing 10" "gyro of body in direction z" "standing" "10" "0.103251560681818" "-0.953681099545455"
"gyro of body z standing 11" "gyro of body in direction z" "standing" "11" "0.0810588216170213" "-0.980636664893617"
"gyro of body z standing 12" "gyro of body in direction z" "standing" "12" "0.074256819" "-0.950364757540984"
"gyro of body z standing 13" "gyro of body in direction z" "standing" "13" "0.085471246877193" "-0.973436596140351"
"gyro of body z standing 14" "gyro of body in direction z" "standing" "14" "0.07904758875" "-0.946589134666667"
"gyro of body z standing 15" "gyro of body in direction z" "standing" "15" "0.0761946738773585" "-0.968167046415094"
"gyro of body z standing 16" "gyro of body in direction z" "standing" "16" "0.0867342708846154" "-0.982357006410256"
"gyro of body z standing 17" "gyro of body in direction z" "standing" "17" "0.0880561869358974" "-0.985538363333333"
"gyro of body z standing 18" "gyro of body in direction z" "standing" "18" "0.0843190675616438" "-0.972820402739726"
"gyro of body z standing 19" "gyro of body in direction z" "standing" "19" "0.0710520180136986" "-0.960734258356164"
"gyro of body z standing 20" "gyro of body in direction z" "standing" "20" "0.0773671448739726" "-0.907343324657534"
"gyro of body z standing 21" "gyro of body in direction z" "standing" "21" "0.0864863265393258" "-0.959327022022472"
"gyro of body z standing 22" "gyro of body in direction z" "standing" "22" "0.0733466563174603" "-0.96058251031746"
"gyro of body z standing 23" "gyro of body in direction z" "standing" "23" "0.0816888999117647" "-0.962389689411765"
"gyro of body z standing 24" "gyro of body in direction z" "standing" "24" "0.077124614942029" "-0.969958678115942"
"gyro of body z standing 25" "gyro of body in direction z" "standing" "25" "0.0852685438243243" "-0.971814139189189"
"gyro of body z standing 26" "gyro of body in direction z" "standing" "26" "0.0776706781351351" "-0.974891360675676"
"gyro of body z standing 27" "gyro of body in direction z" "standing" "27" "0.07168414632375" "-0.981281807"
"gyro of body z standing 28" "gyro of body in direction z" "standing" "28" "0.0865173111012658" "-0.925491442911392"
"gyro of body z standing 29" "gyro of body in direction z" "standing" "29" "0.0827583768461538" "-0.983368643230769"
"gyro of body z standing 30" "gyro of body in direction z" "standing" "30" "0.0802514754237288" "-0.93083468440678"
"gyro of body z walking 1" "gyro of body in direction z" "walking" "1" "0.0849448173042105" "-0.344266629473684"
"gyro of body z walking 2" "gyro of body in direction z" "walking" "2" "0.0828336633220339" "-0.481085535084746"
"gyro of body z walking 3" "gyro of body in direction z" "walking" "3" "0.0813485942827586" "-0.476696411551724"
"gyro of body z walking 4" "gyro of body in direction z" "walking" "4" "0.0805677161216667" "-0.662608226"
"gyro of body z walking 5" "gyro of body in direction z" "walking" "5" "0.0815435495892857" "-0.318700615178571"
"gyro of body z walking 6" "gyro of body in direction z" "walking" "6" "0.0838808799280702" "-0.383139334736842"
